cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
2,13,20,右上,0,2,5,0,5,0,0,6,6,5,,,,,,,,,,,,,,,28,355.329936,355.4301102,355.4301102,357.8238207,357.8238207,357.8238207,1,2,1,0.7648612,None,357.8238207,358.3225977,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,14,20,右下,1,1,5,0,5,0,0,7,7,1,,,,,,,,,,,,,,,22,358.3225977,358.4223754,358.4223754,360.8159119,360.8159119,360.8159119,1,1,1,1.4014056,None,360.8159119,361.3147121,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,18,25,右下,1,1,5,0,5,0,0,8,8,7,,,,,,,,,,,,,,,79,361.3147121,361.4145417,361.4145417,363.8079957,363.8079957,363.8079957,1,1,1,0.7270137,None,363.8079957,364.3063854,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,15,51,左下,0,2,5,0,5,0,0,9,9,2,,,,,,,,,,,,,,,45,364.3063854,364.4064106,364.4064106,366.8002332,366.8002332,366.8002332,1,2,1,1.1963156,None,,,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.8002332,396.7545642,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,17,44,左上,0,2,6,0,6,0,0,0,0,0,,,,,,,,,,,396.7545642,398.7495496,398.7495496,399.2536752,67,399.2536752,399.3482612,399.3482612,401.7418164,401.7418164,401.7418164,1,2,1,1.0301352,None,401.7418164,402.24057,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,11,49,右下,0,2,6,0,6,0,0,1,1,5,,,,,,,,,,,,,,,84,402.24057,402.3401138,402.3401138,404.7335514,404.7335514,404.7335514,1,2,1,1.6138702,None,404.7335514,405.2324896,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,10,4,右上,1,1,6,0,6,0,0,2,2,9,,,,,,,,,,,,,,,69,405.2324896,405.3326515,405.3326515,407.7262017,407.7262017,407.7262017,1,1,1,0.8327267,None,407.7262017,408.2244785,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,10,3,右上,1,1,6,0,6,0,0,3,3,4,,,,,,,,,,,,,,,31,408.2244785,408.3247099,408.3247099,410.7179097,410.7179097,410.7179097,1,1,1,0.5819463,None,410.7179097,411.2170475,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,10,48,左下,0,2,6,0,6,0,0,4,4,7,,,,,,,,,,,,,,,9,411.2170475,411.3169382,411.3169382,413.7104675,413.7104675,413.7104675,1,2,1,1.5633134,None,413.7104675,414.2093428,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
